Contador    P0    P1
0	-2.22   -2.22
623	17.27	-0.16
624	17.27	-0.15
625	17.27	-0.15
626	17.19	-0.15
627	17.19	-0.16
628	17.19	-0.16
629	17.20	-0.16
630	17.20	-0.16
631	17.20	-0.16
632	17.18	-0.16
633	17.18	-0.16
634	17.18	-0.16
635	17.33	-0.16
636	17.33	-0.16
637	17.33	-0.16
638	17.36	-0.16
639	17.36	-0.16
640	17.36	-0.16
641	17.35	-0.16
642	17.35	-0.16
643	17.35	-0.16
644	17.23	-0.16
645	17.23	-0.16
646	17.23	-0.16
647	17.16	-0.16
648	17.16	-0.16
649	17.16	-0.16
650	17.32	-0.16
651	17.32	-0.16
652	17.32	-0.16
653	17.37	-0.16
654	17.37	-0.16
655	17.37	-0.16
656	17.21	-0.16
657	17.21	-0.16
658	17.21	-0.16
659	17.26	-0.16
660	17.26	-0.16
661	17.26	-0.16
662	17.33	-0.16
663	17.33	-0.16
664	17.33	-0.16
665	17.41	-0.16
666	17.41	-0.16
667	17.41	-0.16
668	17.29	-0.16
669	17.29	-0.16
670	17.29	-0.16
671	17.18	-0.16
672	17.18	-0.16
673	17.18	-0.16
674	17.35	-0.16
675	17.35	-0.16
676	17.35	-0.16
677	17.34	-0.16
678	17.34	-0.16
679	17.34	-0.16
680	17.26	-0.16
681	17.26	-0.16
682	17.26	-0.16
683	17.12	-0.16
684	17.12	-0.16
685	17.12	-0.16
686	17.26	-0.16
687	17.26	-0.16
688	17.26	-0.16
689	17.42	-0.16
690	17.42	-0.16
691	17.42	-0.16
692	17.45	-0.16
693	17.45	-0.16
694	17.45	-0.16
695	17.38	-0.16
696	17.38	-0.16
697	17.38	-0.16
698	17.28	-0.16
699	17.28	-0.16
700	17.28	-0.16
701	17.28	-0.16
702	17.28	-0.16
703	17.28	-0.16
704	17.46	-0.16
705	17.46	-0.16
706	17.46	-0.16
707	17.41	-0.16
708	17.41	-0.16
709	17.41	-0.16
710	17.34	-0.16
711	17.34	-0.16
712	17.34	-0.16
713	17.31	-0.16
714	17.31	-0.16
715	17.31	-0.16
716	17.28	-0.16
717	17.28	-0.16
718	17.28	-0.16
719	17.19	-0.16
720	17.19	-0.16
721	17.19	-0.16
722	17.21	-0.16
723	17.21	-0.16
724	17.21	-0.16
725	17.28	-0.16
726	17.28	-0.16
727	17.28	-0.16
728	17.42	-0.16
729	17.42	-0.16
730	17.42	-0.16
731	17.38	-0.16
732	17.38	-0.16
733	17.38	-0.16
734	17.27	-0.16
735	17.27	-0.16
736	17.27	-0.16
737	17.17	-0.16
738	17.17	-0.16
739	17.17	-0.16
740	17.28	-0.16
741	17.28	-0.16
742	17.28	-0.16
743	17.39	-0.16
744	17.39	-0.16
745	17.39	-0.16
746	17.41	-0.16
747	17.41	-0.16
748	17.41	-0.16
749	17.34	-0.16
750	17.34	-0.16
751	17.34	-0.16
752	17.27	-0.16
753	17.27	-0.16
754	17.27	-0.16
755	17.24	-0.16
756	17.24	-0.16
757	17.24	-0.16
758	17.29	-0.16
759	17.29	-0.16
760	17.29	-0.16
761	17.35	-0.16
762	17.35	-0.16
763	17.35	-0.16
764	17.24	-0.16
765	17.24	-0.16
766	17.24	-0.16
767	17.22	-0.16
768	17.22	-0.16
769	17.22	-0.16
770	17.33	-0.16
771	17.33	-0.16
772	17.33	-0.16
773	17.34	-0.16
774	17.34	-0.16
775	17.34	-0.16
776	17.33	-0.16
777	17.33	-0.16
778	17.33	-0.16
779	17.35	-0.16
780	17.35	-0.16
781	17.35	-0.16
782	17.35	-0.16
783	17.35	-0.16
784	17.35	-0.16
785	17.37	-0.16
786	17.37	-0.16
787	17.37	-0.16
788	17.42	-0.16
789	17.42	-0.16
790	17.42	-0.16
791	17.27	-0.16
792	17.27	-0.16
793	17.27	-0.16
794	17.25	-0.16
795	17.25	-0.16
796	17.25	-0.16
797	17.46	-0.16
798	17.46	-0.16
799	17.46	-0.16
800	17.46	-0.16
801	17.46	-0.16
802	17.46	-0.16
803	17.41	-0.16
