Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
31.030	29.11	38.74	-0.08	7.55
31.125	22.96	32.58	-0.00	7.63
31.220	22.40	32.03	0.08	7.71
31.310	24.50	34.13	-0.05	7.58
31.400	24.33	33.96	0.02	7.65
31.490	23.49	33.12	0.04	7.67
31.580	22.14	31.77	-0.08	7.55
31.670	19.74	29.37	0.08	7.71
31.760	17.41	27.04	-0.05	7.58
31.850	14.74	24.37	0.02	7.65
31.941	17.41	27.04	-0.01	7.62
32.046	25.84	35.47	-0.08	7.55
32.140	31.11	40.73	0.05	7.68
32.230	31.44	41.07	-0.08	7.55
32.320	25.55	35.18	0.09	7.71
32.410	21.42	31.05	-0.04	7.58
32.500	23.36	32.99	0.03	7.65
32.590	24.76	34.39	0.04	7.67
32.699	24.01	33.64	0.00	7.63
32.789	23.01	32.64	0.04	7.67
32.879	20.58	30.21	-0.08	7.55
32.969	18.37	27.99	0.08	7.71
33.059	15.81	25.43	-0.04	7.58
33.149	15.35	24.98	0.02	7.65
33.239	21.92	31.54	0.05	7.67
33.329	28.43	38.06	-0.08	7.55
33.419	31.83	41.46	0.08	7.71
33.509	29.44	39.07	-0.05	7.58
33.599	23.48	33.11	0.02	7.65
33.689	21.77	31.40	0.05	7.67
33.779	24.11	33.73	-0.08	7.55
33.869	24.48	34.11	0.08	7.71
33.959	23.77	33.40	-0.04	7.58
34.049	22.62	32.24	0.02	7.65
34.139	20.33	29.96	0.04	7.67
34.229	17.94	27.57	-0.08	7.55
34.319	15.24	24.87	0.08	7.71
34.409	16.21	25.84	-0.04	7.59
34.499	23.25	32.88	0.02	7.65
34.589	29.57	39.20	0.05	7.68
34.678	32.22	41.85	-0.08	7.55
34.768	28.26	37.89	0.08	7.70
34.858	22.64	32.27	-0.04	7.59
34.948	22.26	31.89	0.02	7.65
35.038	24.48	34.11	0.05	7.68
35.128	24.30	33.93	-0.08	7.55
35.218	23.60	33.23	0.08	7.71
35.308	22.24	31.87	-0.04	7.58
35.398	19.87	29.50	0.02	7.65
35.488	17.62	27.25	0.05	7.68
35.582	14.81	24.44	0.04	7.66
35.678	18.16	27.79	-0.08	7.54
35.768	25.43	35.06	0.08	7.71
35.858	30.81	40.44	-0.04	7.59
35.948	31.89	41.52	0.02	7.65
36.038	26.35	35.98	0.06	7.69
36.128	21.69	31.32	-0.08	7.55
36.218	23.07	32.70	0.08	7.70
36.308	24.52	34.15	-0.04	7.59
36.398	24.09	33.72	0.02	7.65
36.487	23.44	33.07	0.06	7.69
36.583	21.26	30.89	0.06	7.69
36.677	18.83	28.45	-0.08	7.55
36.767	16.37	26.00	0.07	7.70
36.857	14.50	24.13	-0.03	7.59
36.947	20.27	29.90	0.01	7.64
37.037	27.26	36.89	0.07	7.70
37.128	31.52	41.15	-0.07	7.55
37.218	30.42	40.05	0.09	7.72
37.308	24.37	33.99	-0.06	7.57
37.398	21.41	31.04	0.04	7.67
37.488	23.91	33.53	0.01	7.64
37.578	24.56	34.19	-0.07	7.55
37.668	23.82	33.45	0.09	7.72
